id_w_time,LATITUDE,LONGITUDE,id,x,y,year,time_of_year,ACQ_TIME,date,fire,pop_density,city,in_urban_area,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive
24.1-49.2-88-2022,49.211071,24.103294000000002,24.1-49.2,24.1,49.2,2022,88,0142,2022-03-29,1,37.12913378742006,NA,TRUE,29.59436416625976,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.203121,24.105589,24.1-49.2,24.1,49.2,2022,88,0142,2022-03-29,1,37.12913378742006,NA,TRUE,14.927280426025392,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.21629,24.085392,24.1-49.2,24.1,49.2,2022,88,0000,2022-03-29,1,37.12913378742006,NA,TRUE,9.934008598327637,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.210976,24.099213,24.1-49.2,24.1,49.2,2022,88,0000,2022-03-29,1,37.12913378742006,NA,TRUE,29.59436416625976,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.210258,24.106552,24.1-49.2,24.1,49.2,2022,88,0000,2022-03-29,1,37.12913378742006,NA,TRUE,29.59436416625976,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.203251,24.097395,24.1-49.2,24.1,49.2,2022,88,0000,2022-03-29,1,37.12913378742006,NA,TRUE,14.782532691955565,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.203964,24.108761,24.1-49.2,24.1,49.2,2022,88,0142,2022-03-29,1,37.12913378742006,NA,TRUE,35.48924255371094,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.206306,24.101933,24.1-49.2,24.1,49.2,2022,88,0142,2022-03-29,1,37.12913378742006,NA,TRUE,14.927280426025392,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.206398,24.105635,24.1-49.2,24.1,49.2,2022,88,0000,2022-03-29,1,37.12913378742006,NA,TRUE,14.927280426025392,7,1,10,1,1,24-49,753,1
24.1-49.2-88-2022,49.208698,24.110109,24.1-49.2,24.1,49.2,2022,88,0142,2022-03-29,1,37.12913378742006,NA,TRUE,28.95068359375,7,1,10,1,1,24-49,753,1
24.2-48.8-98-2022,48.8442,24.2333,24.2-48.8,24.200000000000003,48.8,2022,98,0904,2022-04-08,1,143.35364805989795,NA,TRUE,10.925806999206545,3,4,9,1,1,24-49,753,1
24.2-48.8-98-2022,48.836132,24.236441,24.2-48.8,24.200000000000003,48.8,2022,98,1142,2022-04-08,1,143.35364805989795,NA,TRUE,14.184147834777832,3,4,9,1,1,24-49,753,1
24.2-48.8-98-2022,48.836555,24.236286,24.2-48.8,24.200000000000003,48.8,2022,98,1000,2022-04-08,1,143.35364805989795,NA,TRUE,14.184147834777832,3,4,9,1,1,24-49,753,1
24.2-48.9-104-2022,48.927067,24.207247,24.2-48.9,24.200000000000003,48.900000000000006,2022,104,1130,2022-04-14,1,119.59808727767732,NA,TRUE,131.11651611328125,8,1,11,1,1,24-49,753,1
24.2-48.9-104-2022,48.930523,24.198551,24.2-48.9,24.200000000000003,48.900000000000006,2022,104,1130,2022-04-14,1,119.59808727767732,NA,TRUE,25.264083862304688,8,1,11,1,1,24-49,753,1
